,date,sensor_index,location_type.x,community,latitude,longitude,daily_PM,daily_RH,Smoke
143,1/3/23,109598,0,west town,41.89003,-87.65576,20.56390278,62.89583333,None
144,1/3/23,150042,0,edgewater,41.998127,-87.65679,21.09117361,83.7375,None
145,1/3/23,124685,0,edgewater,41.991535,-87.6575,2493.914485,70.03755216,None
146,1/3/23,94003,0,mckinley park,41.824825,-87.675125,22.91705182,76.58263305,None
147,1/3/23,124679,0,south chicago,41.74125,-87.55403,12.08602778,70.33194444,None
148,1/3/23,140390,1,uptown,41.975258,-87.67274,2.96575,28.19305556,None
149,1/3/23,87741,0,west town,41.90011,-87.68288,20.97192958,71.67746479,None
150,1/3/23,43955,1,west ridge,41.993675,-87.6932,11.36332293,24.69578783,None
151,1/3/23,124677,0,edgewater,41.99066,-87.66854,13.28680111,68.14742698,None
152,1/4/23,96035,0,mckinley park,41.828648,-87.66791,7.658956885,66.67454798,None
153,1/4/23,6546,1,lower west side,41.856613,-87.6818,0.749719495,28.05890603,None
154,1/4/23,8476,0,near south side,41.861206,-87.62989,6.746271676,100,None
155,1/4/23,124685,0,edgewater,41.991535,-87.6575,2468.747242,62.54608939,None
156,1/4/23,109598,0,west town,41.89003,-87.65576,14.03573944,55.8915493,None
157,1/4/23,56135,0,humboldt park,41.902527,-87.73614,7.260738204,62.41552511,None
158,1/4/23,3499,0,west town,41.892696,-87.68569,9.653953674,75.4201278,None
159,1/4/23,4404,0,NA,42.02362,-87.76341,10.88284519,63.0111576,None
160,1/4/23,96079,0,new city,41.81229,-87.66579,18.07177918,63.65260197,None
161,1/4/23,124737,0,edgewater,41.994427,-87.66211,5.338556485,62.93305439,None
162,1/4/23,52011,0,west town,41.911945,-87.66863,7.150801953,56.40446304,None
163,1/4/23,124513,1,irving park,41.95386,-87.71078,0.796830986,23.55492958,None
164,1/4/23,151188,0,near north side,41.897343,-87.62692,12.90965035,57.20699301,None
165,1/4/23,101643,0,north park,41.980278,-87.71708,14.27099024,83.18688982,None
166,1/4/23,151082,0,rogers park,41.998966,-87.65796,12.85757639,70.01527778,None
167,1/4/23,45079,1,NA,42.0225,-87.76374,0.937433752,27.92189679,None
168,1/4/23,124759,1,north park,41.98036,-87.716576,0.247722222,18.52361111,None
169,1/4/23,51933,0,jefferson park,41.981876,-87.7778,13.91321888,65.7267525,None
170,1/4/23,128349,0,south deering,41.7118,-87.55293,5.966611111,60.78888889,None
171,1/4/23,124715,1,north park,41.980335,-87.71664,0.7085554,19.02524544,None
172,1/4/23,124677,0,edgewater,41.99066,-87.66854,6.187942817,62.50767085,None
173,1/4/23,137622,1,edgewater,41.998116,-87.65649,1.134930556,17.93611111,None
174,1/4/23,57579,1,edgewater,41.991753,-87.657234,3.820222531,25.3852573,None
175,1/4/23,150042,0,edgewater,41.998127,-87.65679,12.52586713,72.09230769,None
176,1/4/23,45359,1,west ridge,41.993645,-87.69304,1.436295775,20.80422535,None
177,1/4/23,124649,0,east side,41.68474,-87.53683,6.760636364,61.52027972,None
178,1/4/23,7920,0,south lawndale,41.849483,-87.69537,16.59356643,61.4,None
179,1/4/23,140102,0,brighton park,41.82193,-87.69146,17.06202098,74.11818182,None
180,1/4/23,36901,1,loop,41.88437,-87.61652,2.63859375,19.79261364,None
181,1/4/23,4395,0,west ridge,41.99568,-87.69189,9.950286713,64.41398601,None
182,1/4/23,43955,1,west ridge,41.993675,-87.6932,6.179445277,24.27061469,None
183,1/4/23,94003,0,mckinley park,41.824825,-87.675125,16.35930889,68.77997179,None
184,1/4/23,148029,0,irving park,41.9475,-87.71516,13.56585674,63.49929775,None
185,1/4/23,124679,0,south chicago,41.74125,-87.55403,7.754727654,64.17597765,None
186,1/4/23,140390,1,uptown,41.975258,-87.67274,1.391569444,29.40972222,None
187,1/4/23,39173,0,west lawn,41.76776,-87.73013,11.83209977,68.02784223,None
188,1/4/23,87741,0,west town,41.90011,-87.68288,16.77033661,64.2454418,None
189,1/4/23,133664,1,near south side,41.8595,-87.6205,7.62632128,54.87899861,None
190,1/5/23,96035,0,mckinley park,41.828648,-87.66791,11.75621697,63.77468707,None
191,1/5/23,8476,0,near south side,41.861206,-87.62989,10.5425173,100,None
192,1/5/23,101643,0,north park,41.980278,-87.71708,29.28395983,78.29124821,None
193,1/5/23,6546,1,lower west side,41.856613,-87.6818,0.854097902,26.48111888,None
194,1/5/23,3499,0,west town,41.892696,-87.68569,16.76594037,67.84862385,None
195,1/5/23,151082,0,rogers park,41.998966,-87.65796,26.24481944,63.92777778,None
196,1/5/23,124513,1,irving park,41.95386,-87.71078,2.138882603,22.42574257,None
197,1/5/23,56135,0,humboldt park,41.902527,-87.73614,10.99481638,56.31638418,None
